macbook,macbook pro 2 years old,outdoor,MUMBAI
46 inch tv,TV with 5.1 speakers,0,MUMBAI
LG nexus,brand new with kit kat installed,Camera,MUMBAI
firefox,geared firefox hybrid,Bicycle,MUMBAI
scott x50,hybrid bike. great for moderate biking,Bicycle,MUMBAI
bike mount,capable of holding atleast 4 bikes,Bicycle,MUMBAI
Sea eagle,inflatable raft. Can seat 2,Outdoor,MUMBAI
hammock,synthetic material. Can hold 4.,0,MUMBAI
Camping Mat,Durable camping mat. suitable for all weather conditions,Outdoor,MUMBAI
Mat for camping,"light weight, durable, trendy colors",Outdoor,MUMBAI
Mat for camping,"light weight, durable, trendy colors",0,MUMBAI
projector screen,ceiling mounted.,0,MUMBAI
bla bla,abdhdkd,0,MUMBAI
Canon EOS 600D with 18-55mm Lens,"With 18 Mega Pixels, this camera is said to be the most recommended entry-level 
\
Camera. For moments worth more than an image, this DSLR, records full HD quality video. Go ahead and discover the artist in you!
\
Pick your dates. The longer you rent, the lower the price.
\
",Camera,MUMBAI
Sony Handycam HDR CX-110,"Super lightweight camcorder with 2.7”Slim LCD wide viewing angle, it is handy and captures every detail, even in challenging low-light situations. With the ability to record unforgettable experience in Full High Definition, you can now relive and experience every journey again in stunning lifelike clarity!
\
Pick your dates. The longer you rent, the lower the price.
\
",Camera,MUMBAI
Bushnell 10X42 Legend Ultra HD Binoculars,"The very impressive Legend Ultra HD binocular is made for high powered viewing and concealment. Its ED Prime Glass provides sharp, color-true detail for the best HD image. It also has a field of view that is 12% wider than other 10x binoculars in its class. Enough said, best way to experience this awesomeness is to try it!
\
Pick your dates. The longer you rent, the lower the price.
\
",Outdoor,MUMBAI
BTwin," An easy-to-maintain comfortable cycle suitable for city roads.  
\
Rear luggage carrier(5 kgs load), cycle lock and cycle stand available with the cycle (No extra cost). Btwin frame with lifetime warranty, comfortable for short city rides who want to explore the city. ",Bicycle,MUMBAI
Scott Aspect 740,"The SCOTT Aspect 740 is a mountain hardtail that is designed to be light, efficient and reasonably priced. Featuring a lockout mechanism for the fork, disc brakes and Syncros components, this is the perfect bike for the novice or budget conscious mountain biker. Available in 27.5\",Bicycle,MUMBAI
MTB,"Alloy bikes with good gear set and road rolling tyres for short and long rides within or outside city.
\
Cycles comes along with Helmets n locks for the safety. Can be rented for short term or long. ",Bicycle,MUMBAI
Yellow MTB Bike,"Alloy bikes with good gear set and road rolling tyres for short and long rides within or outside city.
\
Cycles comes along with Helmets n locks for the safety. Can be rented for short term or long. ",Bicycle,MUMBAI
Firefox Roadbike ,"Roadbikes with good gear set and road rolling tyres for short and long rides within or outside city.
\
Cycles comes along with Helmets n locks for the safety. Can be rented for short term or long. ",Bicycle,MUMBAI
BSA Tandem Duo ,Go on a joy ride with a partner on BSA Tandem Duo Bike! Cycles comes along with Helmets n locks for the safety. Can be rented for short term or long. ,Bicycle,MUMBAI
Bergamont Helix 5.1,"Bergamont Helix 5.1.
\
Gears: 9x3
\
Hybrid tires.
\
Front Suspension.
\
Frame size: Medium. 
\
\
Comfortable for Long and Short distances, in city as well as off-road.",Bicycle,MUMBAI
MTB,"Alloy bikes with good gear set and road rolling tyres for short and long rides within or outside city.
\
Cycles comes along with Helmets n locks for the safety. Can be rented for short term or long. ",Bicycle,MUMBAI
Silver Hybrid Bike,"Blending the characteristics of more specialised Roadbikes, MountainBikes and TouringBikes, these bikes are perfect for a newbie! Cycles comes along with Helmets n locks for the safety. Can be rented for short term or long. ",Bicycle,MUMBAI
GT MTB Bike,"GT Bicycles is a premier brand of mountain bicycles.Alloy bikes with good gear set and road rolling tyres for short and long rides within or outside city.
\
Cycles comes along with Helmets n locks for the safety. Can be rented for short term or long. ",Bicycle,MUMBAI
Schwinn Hybrid,"Blending the characteristics of more specialised RoadBikes, MountainBikes and TouringBikes, Hybrids are perfect for a newbie!Cycles come along with Helmets n locks for the safety. Can be rented for short term or long. ",Bicycle,MUMBAI
Schwinn Searcher Hybrid,Perfect for riders who want a comfortable and versatile bike for casual and fitness riding on and off the road. Cycle comes along with Helmets n locks for the safety. Can be rented for short term or long. ,Bicycle,MUMBAI
Hybrid Fomas Bike,"Alloy bikes with good gear set and road rolling tyres for short and long rides within or outside city.
\
Cycle comes along with Helmets n locks for the safety. Can be rented for short term or long. ",Bicycle,MUMBAI
Hercules Neo,"Hercules Neo is a perfect bike for recreational rides, commuting and for fitness. Its light weight with Shimano 21 speed gears and adjustable handle bar stem. ",Bicycle,MUMBAI
Hercules Ryder,"Hercules Ryders Neo is a perfect bike for recreational rides, commuting and for fitness. Its light weight with Shimano 21 speed gears and adjustable handle bar stem. ",Bicycle,MUMBAI
Urban Trail Hardy 2.1,"The world is full of destinations to be explored by the people who dare. The daring spirit of adventure lies in the heart of every person to be ignited until he finds the perfect companion. Urban Trail sees those destinations as a challenge waiting to be conquered, by you.' Urban Trail Hardy 2.1 is an MTB perfect for leisure/fitness, with wheel size 26.",Bicycle,MUMBAI
Prowheel Outlander,"Prowheel outlander is a great outdoor bicycle great fr leisure and fitness. With 26 wheelsize, shock absorber and dual suspension this bike is wonderful for cities and off roading",Bicycle,MUMBAI
BTwin,"An easy-to-maintain comfortable cycle suitable for city roads. Btwin frame with lifetime warranty, comfortable for short city rides who want to explore the city. Bike comes with front shock absorbers and disc brakes",Bicycle,MUMBAI
